offense,fourth_down_decisions,actual_go_rate,expected_go_rate,aggressiveness_index,rank
Purdue,289,0.22491349480968859,0.24370942872148404,-0.01879593391179546,85
Colorado,298,0.19798657718120805,0.21796712893036202,-0.019980551749153974,86
Georgia,233,0.2446351931330472,0.26468888795262824,-0.020053694819581025,87
Oregon,233,0.30042918454935624,0.3207437845637324,-0.020314600014376183,88
Boise State,277,0.2490974729241877,0.2694444877052654,-0.0203470147810777,89
Toledo,290,0.24482758620689654,0.2656346924270569,-0.020807106220160354,90
Georgia Tech,247,0.24696356275303644,0.2682430930260529,-0.02127953027301649,91
Central Michigan,287,0.23693379790940766,0.2585041867996642,-0.02157038889025653,92
Louisiana Tech,289,0.24567474048442905,0.26737743881936915,-0.021702698334940096,93
Virginia Tech,299,0.24414715719063546,0.26614485198201476,-0.021997694791379307,94
San José State,238,0.23109243697478993,0.2548534052782937,-0.02376096830350377,95
North Carolina,271,0.23616236162361623,0.260568399670864,-0.024406038047247752,96
Clemson,311,0.24758842443729903,0.2743553995388524,-0.026766975101553375,97
James Madison,266,0.22556390977443608,0.2526393045425966,-0.02707539476816051,98
Oklahoma State,307,0.22149837133550487,0.24940911480811004,-0.027910743472605165,99
Louisiana,261,0.2260536398467433,0.2545078126756205,-0.028454172828877217,100
Oklahoma,282,0.20212765957446807,0.23077979711893942,-0.02865213754447135,101
Virginia,310,0.24193548387096775,0.27065075707489267,-0.028715273203924918,102
Eastern Michigan,273,0.22344322344322345,0.25509331933669427,-0.031650095893470814,103
Penn State,281,0.28825622775800713,0.322050595836511,-0.03379436807850389,104
Wake Forest,279,0.22939068100358423,0.2639166113110957,-0.03452593030751144,105
Arizona,251,0.23904382470119523,0.276158908977176,-0.03711508427598076,106
Northwestern,282,0.2127659574468085,0.24988912312045836,-0.037123165673649844,107
Arkansas,241,0.2157676348547718,0.2530182621132275,-0.03725062725845568,108
New Mexico State,277,0.18772563176895307,0.22507283579360352,-0.03734720402465044,109
Kennesaw State,208,0.16346153846153846,0.20238060943085784,-0.038919070969319375,110
NC State,279,0.20430107526881722,0.2435666801690374,-0.039265604900220186,111
Alabama,271,0.19557195571955718,0.23489552491393112,-0.039323569194373936,112
Miami,244,0.24180327868852458,0.28170335378102634,-0.03990007509250176,113
UNLV,279,0.22939068100358423,0.2694671284878412,-0.04007644748425698,114
Wisconsin,295,0.22033898305084745,0.260607195647969,-0.04026821259712157,115
Missouri,260,0.2153846153846154,0.2575740721702931,-0.042189456785677704,116
Old Dominion,284,0.18309859154929578,0.2262397326177501,-0.04314114106845432,117
Iowa State,284,0.23943661971830985,0.2831952299980812,-0.043758610279771376,118
Ohio State,243,0.2551440329218107,0.2997038682266311,-0.04455983530482038,119
Georgia Southern,262,0.1946564885496183,0.2434647055394934,-0.048808216989875086,120
Tennessee,251,0.20717131474103587,0.25653838420202524,-0.04936706946098937,121
Fresno State,279,0.2007168458781362,0.25251096002637397,-0.05179411414823776,122
Missouri State,115,0.16521739130434782,0.21846248617182581,-0.053245094867478,123
LSU,237,0.19831223628691982,0.25197771680366554,-0.05366548051674572,124
UConn,282,0.18439716312056736,0.2392263918891677,-0.05482922876860033,125
Wyoming,280,0.2,0.2579722058997055,-0.057972205899705476,126
Marshall,289,0.17301038062283736,0.23221312136899377,-0.05920274074615642,127
Arkansas State,293,0.21160409556313994,0.2724153452891229,-0.06081124972598298,128
SMU,274,0.20802919708029197,0.26994379436081123,-0.06191459728051926,129
Ohio,251,0.22310756972111553,0.2909677403697923,-0.06786017064867675,130
Michigan,272,0.20955882352941177,0.2930378856137208,-0.08347906208430902,131
Miami (OH),299,0.15384615384615385,0.23763428600133768,-0.08378813215518383,132
Texas A&M,256,0.19921875,0.283579926036217,-0.08436117603621701,133
Louisville,270,0.2037037037037037,0.2919580078582749,-0.08825430415457122,134
Minnesota,280,0.14285714285714285,0.25518576080433103,-0.11232861794718818,135
Iowa,298,0.12080536912751678,0.262310463112687,-0.14150509398517025,136
